source_id,source_name,source_kind,source_x,source_y,target_id,target_name,target_kind,target_x,target_y,cityEdges,npcCityEdges,source_observed_screen
20000,정형,관문,132,1005,104020,진정,성지,127,1083,1,0,0
20000,정형,관문,132,1005,703020,악평,성지,175,968,1,0,0
20010,서평창,관문,509,1366,105020,반현,성지,435,1365,1,0,0
20010,서평창,관문,509,1366,704030,평원,성지,564,1344,1,0,0
20020,운중,관문,125,899,205020,의천,성지,83,948,1,0,0
20020,운중,관문,125,899,705030,구원,성지,158,854,1,0,0
20030,축아,관문,633,1365,305020,동평릉,성지,586,1438,1,0,0
20030,축아,관문,633,1365,706020,비성,성지,661,1311,1,0,0
20040,이석,관문,148,705,204020,낙교,성지,102,698,1,0,0
20040,이석,관문,148,705,705020,평도,성지,169,765,1,0,0
20050,몽음,관문,755,1326,304020,임기,성지,723,1378,1,0,0
20050,몽음,관문,755,1326,706030,비현,성지,760,1283,1,0,0
20060,협석,관문,1028,132,404020,장판,성지,1079,126,1,0,0
20060,협석,관문,1028,132,803020,창위,성지,979,151,1,0,0
20070,하구,관문,1369,498,405020,적벽,성지,1378,441,1,0,0
20070,하구,관문,1369,498,804030,심양,성지,1360,551,1,0,0
20080,무현,관문,914,124,505030,영안,성지,897,74,1,0,0
20080,무현,관문,914,124,805030,무릉,성지,889,173,1,0,0
20090,환구,관문,1406,620,605020,팽택,성지,1454,560,1,0,0
20090,환구,관문,1406,620,806020,송자현,성지,1366,652,1,0,0
20100,목란새,관문,739,155,504020,서성,성지,703,135,1,0,0
20100,목란새,관문,739,155,805020,건시,성지,798,168,1,0,0
20110,호림,관문,1385,808,604020,경현,성지,1396,883,1,0,0
20110,호림,관문,1385,808,806030,환현,성지,1359,754,1,0,0
20120,단씨,관문,497,794,711010,고도,성지,448,756,1,0,0
20120,단씨,관문,497,794,902040,야왕,성지,549,831,1,0,0
20130,연현,관문,712,1007,712010,복양,성지,714,1050,1,0,0
20130,연현,관문,712,1007,903030,권현,성지,678,960,1,0,0
20140,포판진,관문,487,678,709010,해현,성지,415,669,1,0,0
20140,포판진,관문,487,678,1003030,합양,성지,472,624,1,0,0
20150,고성,관문,818,1014,710010,정도,성지,795,1067,1,0,0
20150,고성,관문,818,1014,1102040,몽현,성지,883,1039,1,0,0
20160,피씨,관문,257,605,707010,양릉,성지,306,651,1,0,0
20160,피씨,관문,257,605,1002040,속읍,성지,227,563,1,0,0
20170,호육,관문,910,1227,708010,임성,성지,848,1182,1,0,0
20170,호육,관문,910,1227,1103030,공구,성지,951,1245,1,0,0
20180,석현,관문,795,491,811010,순양,성지,791,443,1,0,0
20180,석현,관문,795,491,904040,노씨,성지,850,524,1,0,0
20190,곤양,관문,1012,690,812010,남둔,성지,1058,732,1,0,0
20190,곤양,관문,1012,690,905030,양성,성지,976,650,1,0,0
20200,무관,관문,686,465,809010,단수,성지,713,414,1,0,0
20200,무관,관문,686,465,1005030,상현,성지,620,455,1,0,0
20210,송현,관문,1041,846,810010,여음,성지,1093,812,1,0,1
20210,송현,관문,1041,846,1104040,진현,성지,1042,903,1,0,0
20220,자오곡,관문,594,294,807010,평지,성지,648,325,1,0,0
20220,자오곡,관문,594,294,1004040,로수성,성지,549,289,1,0,0
20230,무강구,관문,1219,913,808010,육안,성지,1186,867,1,0,0
20230,무강구,관문,1219,913,1105030,수현,성지,1226,952,1,0,0
20240,누번,관문,49,990,102020,왕도,성지,47,1047,1,0,0
20240,누번,관문,49,990,205020,의천,성지,83,948,1,0,0
20250,동조양,관문,523,1453,103020,염차,성지,475,1442,1,0,0
20250,동조양,관문,523,1453,305020,동평릉,성지,586,1438,1,0,0
20260,강(羌)도,관문,106,52,202020,답중,성지,39,49,1,0,0
20260,강(羌)도,관문,106,52,502020,음평,성지,162,33,1,0,0
20270,해릉,관문,1417,1460,302020,광릉,성지,1365,1467,1,0,0
20270,해릉,관문,1417,1460,602020,무진,성지,1466,1434,1,0,0
20280,자귀,관문,923,43,402020,신릉,성지,991,33,1,0,0
20280,자귀,관문,923,43,505030,영안,성지,897,74,1,0,0
20290,시상,관문,1463,500,403020,양신,성지,1465,445,1,0,0
20290,시상,관문,1463,500,605020,팽택,성지,1454,560,1,0,0
20300,풍릉도,관문,549,683,902020,문시,성지,563,733,1,0,0
20300,풍릉도,관문,549,683,1003020,임진,성지,571,627,1,0,0
20310,산조,관문,824,937,903020,원무,성지,775,929,1,0,0
20310,산조,관문,824,937,1102020,오소,성지,878,932,1,0,0
20320,동관,관문,681,544,904020,호현,성지,738,555,1,0,0
20320,동관,관문,681,544,1005020,정현,성지,633,554,1,0,0
20330,부구,관문,956,812,905020,허창,성지,959,762,1,0,0
20330,부구,관문,956,812,1104020,진류,성지,956,859,1,0,0
101010,계현,성지,50,1450,101020,탁록,성지,40,1331,1,1,0
101010,계현,성지,50,1450,101030,안차,성지,166,1446,1,1,0
101020,탁록,성지,40,1331,104030,범양,성지,159,1285,1,1,0
101030,안차,성지,166,1446,105030,탁현,성지,222,1349,1,1,0
102010,대현,성지,44,1248,102030,평서,성지,44,1152,1,1,0
102010,대현,성지,44,1248,104010,로노,성지,148,1188,1,1,0
102010,대현,성지,44,1248,104030,범양,성지,159,1285,1,1,0
102020,왕도,성지,47,1047,102030,평서,성지,44,1152,1,1,0
102020,왕도,성지,47,1047,205020,의천,성지,83,948,0,1,0
103010,장무,성지,273,1453,103030,요안,성지,378,1458,1,1,0
103010,장무,성지,273,1453,105010,남피,성지,328,1354,1,1,0
103010,장무,성지,273,1453,105030,탁현,성지,222,1349,1,1,0
103020,염차,성지,475,1442,103030,요안,성지,378,1458,1,1,0
103020,염차,성지,475,1442,305020,동평릉,성지,586,1438,0,1,0
104010,로노,성지,148,1188,104020,진정,성지,127,1083,1,1,0
104020,진정,성지,127,1083,703020,악평,성지,175,968,0,1,0
104030,범양,성지,159,1285,105030,탁현,성지,222,1349,1,1,0
105010,남피,성지,328,1354,105020,반현,성지,435,1365,1,1,0
105020,반현,성지,435,1365,704030,평원,성지,564,1344,0,1,0
201010,기현,성지,59,363,201030,약양,성지,29,474,1,1,0
201010,기현,성지,59,363,203010,임위,성지,202,310,1,1,0
201020,서현,성지,59,269,202010,하변,성지,162,219,1,1,0
201020,서현,성지,59,269,203010,임위,성지,202,310,1,1,0
201030,약양,성지,29,474,203020,약양,성지,184,409,1,1,0
201030,약양,성지,29,474,204030,월지성,성지,37,646,1,1,0
202010,하변,성지,162,219,202030,무도,성지,68,160,1,1,0
202020,답중,성지,39,49,202030,무도,성지,68,160,1,1,0
202020,답중,성지,39,49,502020,음평,성지,162,33,0,1,0
203010,임위,성지,202,310,203020,약양,성지,184,409,1,1,0
203020,약양,성지,184,409,203030,가정,성지,129,501,1,1,0
203030,가정,성지,129,501,204010,임경,성지,125,599,1,1,0
204010,임경,성지,125,599,204020,낙교,성지,102,698,1,1,0
204020,낙교,성지,102,698,705020,평도,성지,169,765,0,1,0
