category,id,name,before_x,before_y,after_x,after_y,dx,dy,raw_at_marker,grade,evidence
gates,20000,정형,132,1005,132,1005,0,0,11,확인,raw11 중심 타일 대조
gates,20010,서평창,509,1366,509,1366,0,0,11,확인,raw11 중심 타일 대조
gates,20020,운중,128,902,125,899,-3,-3,10,확인,raw10 중심형태(15칸; 원래 좌표와의 거리 4.6)
gates,20030,축아,633,1365,633,1365,0,0,11,확인,raw11 중심 타일 대조
gates,20040,이석,149,703,148,705,-1,2,10,확인,raw10 중심형태(15칸; 원래 좌표와의 거리 2.7)
gates,20050,몽음,755,1326,755,1326,0,0,11,확인,raw11 중심 타일 대조
gates,20060,협석,1028,132,1028,132,0,0,11,확인,raw11 중심 타일 대조
gates,20070,하구,1374,500,1369,498,-5,-2,10,확인,raw10 중심형태(11칸; 원래 좌표와의 거리 5.4)
gates,20080,무현,914,124,914,124,0,0,11,확인,raw11 중심 타일 대조
gates,20090,환구,1408,624,1406,620,-2,-4,10,확인,raw10 중심형태(13칸; 원래 좌표와의 거리 4.0)
gates,20100,목란새,739,155,739,155,0,0,11,확인,raw11 중심 타일 대조
gates,20110,호림,1385,808,1385,808,0,0,10,확인,raw10 중심형태(17칸; 원래 좌표와의 거리 0.0)
gates,20120,단씨,497,794,497,794,0,0,11,확인,raw11 중심 타일 대조
gates,20130,연현,712,1007,712,1007,0,0,11,확인,raw11 중심 타일 대조
gates,20140,포판진,487,678,487,678,0,0,10,확인,raw10 중심형태(15칸; 원래 좌표와의 거리 0.5)
gates,20150,고성,818,1014,818,1014,0,0,11,확인,raw11 중심 타일 대조
gates,20160,피씨,264,603,257,605,-7,2,10,확인,raw10 중심형태(13칸; 원래 좌표와의 거리 7.3)
gates,20170,호육,910,1227,910,1227,0,0,11,확인,raw11 중심 타일 대조
gates,20180,석현,795,491,795,491,0,0,11,확인,raw11 중심 타일 대조
gates,20190,곤양,1012,690,1012,690,0,0,11,확인,raw11 중심 타일 대조
gates,20200,무관,686,465,686,465,0,0,11,확인,raw11 중심 타일 대조
gates,20210,송현,1031,846,1041,846,10,0,10,확인,raw10 중심형태(15칸; 원래 좌표와의 거리 10.0)
gates,20220,자오곡,594,294,594,294,0,0,11,확인,raw11 중심 타일 대조
gates,20230,무강구,1219,913,1219,913,0,0,11,확인,raw11 중심 타일 대조
gates,20240,누번,53,989,49,990,-4,1,10,확인,raw10 중심형태(11칸; 원래 좌표와의 거리 4.1)
gates,20250,동조양,523,1453,523,1453,0,0,10,확인,raw10 중심형태(11칸; 원래 좌표와의 거리 0.5)
gates,20260,강(羌)도,106,52,106,52,0,0,11,확인,raw11 중심 타일 대조
gates,20270,해릉,1419,1462,1417,1460,-2,-2,10,확인,raw10 중심형태(13칸; 원래 좌표와의 거리 3.2)
gates,20280,자귀,923,43,923,43,0,0,11,확인,raw11 중심 타일 대조
gates,20290,시상,1463,500,1463,500,0,0,11,확인,raw11 중심 타일 대조
gates,20300,풍릉도,544,683,549,683,5,0,10,확인,raw10 중심형태(13칸; 원래 좌표와의 거리 5.0)
gates,20310,산조,824,937,824,937,0,0,11,확인,raw11 중심 타일 대조
gates,20320,동관,681,544,681,544,0,0,11,확인,raw11 중심 타일 대조
gates,20330,부구,956,812,956,812,0,0,11,확인,raw11 중심 타일 대조
docks,1010,부두,225,1405,229,1405,4,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 4.0)
docks,1020,부두,258,1399,261,1398,3,-1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 3.2)
docks,1030,부두,207,1442,208,1443,1,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.8)
docks,1040,부두,269,1339,269,1341,0,2,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.5)
docks,2010,부두,11,421,12,420,1,-1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.4)
docks,2020,부두,55,425,54,424,-1,-1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.4)
docks,2030,부두,141,353,141,352,0,-1,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.5)
docks,2040,부두,138,330,137,328,-1,-2,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 2.7)
docks,2050,부두,138,308,138,309,0,1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.5)
docks,2060,부두,131,292,131,294,0,2,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.5)
docks,2070,부두,212,248,215,248,3,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 3.0)
docks,3010,부두,706,1483,706,1482,0,-1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.0)
docks,3020,부두,777,1357,777,1357,0,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 0.5)
docks,3030,부두,1176,1392,1177,1391,1,-1,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.8)
docks,3040,부두,1183,1381,1185,1380,2,-1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 2.5)
docks,3050,부두,1149,1303,1147,1299,-2,-4,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 4.9)
docks,4010,부두,1322,396,1321,397,-1,1,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.4)
docks,4020,부두,1382,385,1383,385,1,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.0)
docks,4030,부두,1431,400,1425,402,-6,2,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 6.3)
docks,4040,부두,1483,391,1482,391,-1,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.0)
docks,4050,부두,1304,33,1305,32,1,-1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.8)
docks,4060,부두,1458,184,1452,185,-6,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 6.1)
docks,5010,부두,564,58,568,72,4,14,10,추정(거리 큼),raw10 중심형태(7칸; 원래 좌표와의 거리 15.0)
docks,5020,부두,555,19,555,19,0,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 0.5)
docks,5030,부두,662,68,664,63,2,-5,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 4.9)
docks,5040,부두,671,15,670,22,-1,7,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 7.6)
docks,5050,부두,765,74,764,80,-1,6,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 6.6)
docks,5060,부두,772,23,772,23,0,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 0.5)
docks,6010,부두,1305,1007,1299,1009,-6,2,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 6.3)
docks,6020,부두,1383,1001,1385,1001,2,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 2.0)
docks,6030,부두,1399,1054,1398,1053,-1,-1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.4)
docks,6040,부두,1409,1064,1409,1065,0,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 0.5)
docks,7010,부두,245,1290,247,1286,2,-4,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 4.9)
docks,7020,부두,257,1260,257,1261,0,1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 0.5)
docks,7030,부두,274,1207,273,1207,-1,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.0)
docks,7040,부두,262,1186,261,1188,-1,2,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.8)
docks,7050,부두,566,1009,565,1009,-1,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.1)
docks,7060,부두,568,1025,568,1028,0,3,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 3.5)
docks,7070,부두,562,1112,563,1113,1,1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.4)
docks,7080,부두,571,1117,573,1118,2,1,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 2.2)
docks,7090,부두,359,698,360,697,1,-1,10,확인,raw10 중심형태(3칸; 원래 좌표와의 거리 1.4)
docks,8010,부두,765,250,765,251,0,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 0.5)
docks,8020,부두,770,269,769,269,-1,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 1.1)
docks,8030,부두,789,330,789,331,0,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 0.5)
docks,8040,부두,781,349,781,350,0,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 0.5)
docks,8050,부두,975,321,973,319,-2,-2,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 3.2)
docks,8060,부두,985,337,984,336,-1,-1,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.1)
docks,8070,부두,1052,362,1052,362,0,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 0.0)
docks,8080,부두,1069,357,1075,355,6,-2,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 6.3)
docks,8090,부두,1154,736,1153,736,-1,0,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.0)
docks,8100,부두,1172,734,1177,735,5,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 5.1)
docks,8110,부두,1087,676,1083,677,-4,1,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 4.1)
docks,8120,부두,1203,704,1203,704,0,0,24,미검증,시설 원본 패턴 미확인: 인근 raw10 패턴 없음
docks,9010,부두,611,975,611,975,0,0,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 0.5)
docks,9020,부두,618,955,619,955,1,0,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.1)
docks,9030,부두,639,733,638,732,-1,-1,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 1.4)
docks,9060,부두,881,749,879,749,-2,0,10,확인,raw10 중심형태(5칸; 원래 좌표와의 거리 2.0)
docks,9070,부두,793,543,793,541,0,-2,10,확인,raw10 중심형태(7칸; 원래 좌표와의 거리 2.5)
docks,9080,부두,794,560,795,562,1,2,10,확인,raw10 중심형태(9칸; 원래 좌표와의 거리 1.8)
